"|","|__name","Lasana_y_canelones"
"","Fideo grueso Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta estrellas Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta maravilla Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Fideo mediano Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Fideo al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
"","Pasta infantil con vegetales Hacendado\nPaquete 500 g\n1,30 €1,20 € /ud.",""
"","Sémola de trigo Hacendado\nPaquete 500 g\n1,60 € /ud.",""
"","Tapioca Tipiak\nCaja 225 g\n1,90 € /ud.",""
"","Pasta estrellas sin gluten Felicia\nPaquete 500 g\n2,00 €1,95 € /ud.",""
"Macarrones_pajaritas_y_helices","Pajaritas vegetales Hacendado\nPaquete 500 g\n1,10 € /ud.",""
"","Pasta penne integral Hacendado\nPaquete 500 g\n1,20 € /ud.",""
"","Pasta tortiglioni Armando\nPaquete 500 g\n1,24 € /ud.",""
"","Hélices con vegetales Hacendado\nPaquete 1 kg\n1,60 € /ud.",""
"","Macarrón fino Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Macarrón al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
"","Macarrón Hacendado\nPaquete 1 kg\n1,35 €1,30 € /ud.",""
"","Macarrón rayado Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta penne Armando\nPaquete 500 g\n1,24 € /ud.",""
"","Pasta fusilli 100% lentejas rojas Felicia\nPaquete 250 g\n1,58 € /ud.",""
"","Pasta trottole vegetales Hacendado\nPaquete 500 g\n1,30 €1,20 € /ud.",""
"","Pasta fusilli Armando\nPaquete 500 g\n1,24 € /ud.",""
"","Pasta tiburón Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Hélices Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Macarrón Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Pasta fusilli sin gluten Felicia\nPaquete 500 g\n2,00 €1,95 € /ud.",""
"","Pasta corallini integral Hacendado\nPaquete 500 g\n1,20 € /ud.",""
"Spaghetti_y_tallarines","Tallarines Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Spaghetti integral Hacendado\nPaquete 500 g\n1,20 € /ud.",""
"","Spaghetti fino Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Nidos al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
"","Spaghetti al huevo Hacendado\nPaquete 500 g\n1,35 € /ud.",""
"","Spaghetti Hacendado\nPaquete 1 kg\n1,35 €1,30 € /ud.",""
"","Spaghetti Hacendado\nPaquete 500 g\n0,82 € /ud.",""
"","Spaghetti sin gluten Felicia\nPaquete 500 g\n2,00 €1,95 € /ud.",""
"","Pasta fresca tagliatelle al huevo Hacendado\nPaquete 250 g\n1,15 € /ud.",""
"Pasta_rellena","Tortellini carne Pagani\nPaquete 250 g\n1,35 € /ud.",""
"","Pasta fresca tortellini carne Hacendado\nBandeja 250 g\n1,72 € /ud.",""
"","Pasta fresca ravioli ricotta y espinacas Hacendado\nBandeja 250 g\n1,72 € /ud.",""
"","Tortellini tres quesos Pagani\nPaquete 250 g\n1,35 € /ud.",""
"","Pasta fresca gnocchi Hacendado\nPaquete 500 g\n1,12 € /ud.",""
"","Pasta fresca triángulo setas y mascarpone Hacendado\nBandeja 250 g\n2,24 € /ud.",""
"","Pasta fresca girasoles quesos Hacendado\nBandeja 250 g\n1,72 € /ud.",""
"","Pasta fresca medialunas parmigiano reggiano y trufa Hacendado\nBandeja 250 g\n2,48 € /ud.",""
"","Pasta fresca medialunas calabaza y crema de quesos Hacendado\nBandeja 250 g\n2,24 € /ud.",""
"","Pasta fresca tortellini jamón y queso Hacendado\nPaquete 250 g\n1,72 € /ud.",""
"","Pasta fresca gnocchi quesos Hacendado\nPaquete 400 g\n2,00 € /ud.",""
"","Pasta fresca girasoles queso de cabra y cebolla caramelizada Hacendado\nBandeja 250 g\n2,24 € /ud.",""
"","Pasta fresca ravioli tomate y queso burrata Hacendado\nBandeja 250 g\n2,24 € /ud.",""
"Fideos_orientales","Fideos orientales Yakisoba classic Gallina Blanca\nVaso 93 g\n1,95 € /ud.",""
"","Fideos orientales Yatekomo sabor pollo Gallina Blanca\n3 vasos x 60 g\n3,95 € /pack",""
"","Fideos orientales Yatekomo sabor pollo Gallina Blanca\nVaso 60 g\n1,55 € /ud.",""
"","Pasta oriental sabor pollo Maggi\nPaquete 71 g\n0,90 € /ud.",""
"","Fideos orientales Yakisoba sabor soja Hacendado\nVaso 80 g\n1,30 € /ud.",""
