Categoría,Nombre,Cantidad,Suma de Precio Inicio(€),Suma de Precio Oferta(€),Cantidad del precio,Supermercado,Fecha
Bebidas_vegetales,Bebida de soja con calcio y vitaminas Hacendado,6 bricks x 1 L,4.2,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de soja con calcio y vitaminas Hacendado,Brick 1 L,0.7,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de soja sabor café sin azúcares añadidos Hacendado,6 bricks x 1 L,7.5,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de soja sabor café sin azúcares añadidos Hacendado,Brick 1 L,1.25,,ud.,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de soja sabor vainilla Hacendado 0% azúcar,6 bricks x 1 L,6.6,,pack,Mercadona,2024-03-11 00:00:00
Bebidas_vegetales,Bebida de soja sabor vainilla Hacendado 0% azúcar,Brick 1 L,1.1,,ud.,Mercadona,2024-03-11 00:00:00
Leche_infantil,Bebida láctea con cereales crecimiento y desarrollo Puleva Max,6 bricks x 1 L,11.34,,pack,Mercadona,2024-03-11 00:00:00
Leche_infantil,Bebida láctea con cereales crecimiento y desarrollo Puleva Max,Brick 1 L,1.89,,ud.,Mercadona,2024-03-11 00:00:00
Leche_infantil,Bebida láctea crecimiento y desarrollo Puleva Max,6 bricks x 1 L,11.34,,pack,Mercadona,2024-03-11 00:00:00
Leche_infantil,Bebida láctea crecimiento y desarrollo Puleva Max,Brick 1 L,1.89,,ud.,Mercadona,2024-03-11 00:00:00
Leche_desnatada,Bebida láctea desnatada omega 3 Hacendado,6 bricks x 1 L,6.6,,pack,Mercadona,2024-03-11 00:00:00
Leche_desnatada,Bebida láctea desnatada omega 3 Hacendado,Brick 1 L,1.1,,ud.,Mercadona,2024-03-11 00:00:00
Leche_desnatada,Bebida láctea Omega 3 Puleva con leche desnatada,6 bricks x 1 L,11.4,,pack,Mercadona,2024-03-11 00:00:00
Leche_desnatada,Bebida láctea Omega 3 Puleva con leche desnatada,Brick 1 L,1.9,,ud.,Mercadona,2024-03-11 00:00:00
Leche_desnatada,Bebida láctea Omega 3 Puleva con nueces y leche desnatada,6 bricks x 1 L,11.7,,pack,Mercadona,2024-03-11 00:00:00
Leche_desnatada,Bebida láctea Omega 3 Puleva con nueces y leche desnatada,Brick 1 L,1.95,,ud.,Mercadona,2024-03-11 00:00:00
Leche_semidesnatada,Bebida láctea semidesnatada con fibra Hacendado,6 bricks x 1 L,7.5,,pack,Mercadona,2024-03-11 00:00:00
Leche_semidesnatada,Bebida láctea semidesnatada con fibra Hacendado,Brick 1 L,1.25,,ud.,Mercadona,2024-03-11 00:00:00
Otras_verduras_y_hortalizas,Berenjena,Pieza 366 g aprox.,0.58,,ud.,Mercadona,2024-03-11 00:00:00
Sal_y_bicarbonato,Bicarbonato sódico Hacendado,Bote 300 g,1.1,,ud.,Mercadona,2024-03-11 00:00:00
Sal_y_bicarbonato,Bicarbonato sódico Hacendado,Paquete 1 kg,1.5,,ud.,Mercadona,2024-03-11 00:00:00
Otras_verduras_y_hortalizas,Brócoli,Pieza 393 g aprox.,0.98,,ud.,Mercadona,2024-03-11 00:00:00
Calabacin_y_pimiento,Calabacín blanco,Pieza 352 g aprox.,0.7,,ud.,Mercadona,2024-03-11 00:00:00
Calabacin_y_pimiento,Calabacín verde,Pieza 403 g aprox.,0.72,,ud.,Mercadona,2024-03-11 00:00:00
Otras_verduras_y_hortalizas,Calabaza cacahuete,"Pieza 1,06 kg aprox.",1.96,,ud.,Mercadona,2024-03-11 00:00:00
Otras_verduras_y_hortalizas,Calabaza cacahuete cortada a trozos,Bandeja 450 g aprox.,1.8,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Cebollas,Malla 1 kg,2.39,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Cebollas,Malla 2 kg,3.85,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Cebollas dulces,Malla 1 kg,2.44,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Cebollas rojas,Malla 500 g,1.45,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Cebollas tiernas,Manojo 3 ud.,1.29,,ud.,Mercadona,2024-03-11 00:00:00
